"
",>>>>>,Lower,Left,<<<<<,"
"
Failed,-0.044233455952446724,0.010278451639007775,-17.0,-423.0,-220.0,-203.0,", On Agreeing to the Amendment"
Failed,-0.04395422393338225,0.011295607426959968,-12.0,-424.0,-218.0,-206.0,"Declaring a State of War Between the United States and the Government of the Federal Republic of Yugoslavia, On Passage"
Failed,-0.042479190068713396,0.010466860074319021,-12.0,-400.0,-206.0,-194.0,", On Agreeing to the Amendment"
Failed,-0.04392303603567379,0.010184736935325976,-17.0,-419.0,-218.0,-201.0,", On Motion to Adjourn"
Failed,-0.043741547122925266,0.010440249232956503,-14.0,-418.0,-216.0,-202.0,"Provide Discretionary Spending Offsets for FY 2000, Suspend the rules and pass, as amended"
Failed,-0.04240196226196407,0.008927906647345607,-25.0,-405.0,-215.0,-190.0,"District of Columbia Appropriations Act, 2000, On Motion to Recommit Conference Report"
Failed,-0.04371982927029231,0.010714406300168358,-12.0,-418.0,-215.0,-203.0,"Making further continuing appropriations for F.Y. 2000, On Motion to Recommit"
Failed,-0.04364800824918633,0.01040163612499356,-15.0,-417.0,-216.0,-201.0,"Expressing the sense of the House of Representatives that the tax and user fee increases proposed by the Administration in the FY 2001 budget should be adopted., On motion to suspend the rules and agree"
"
",>>>>>,Lower,Right,<<<<<,"
"
Failed,-0.0107212945072811,-0.04863175191868935,-418.0,-18.0,-218.0,200.0,"Adopting rules for the One Hundred Sixth Congress, On Motion to Commit with Instructions"
Failed,-0.010711872873775,-0.04904849254768801,-413.0,-15.0,-214.0,199.0,", On Agreeing to the Amendment"
Failed,-0.012546203402355321,-0.048003108639822094,-405.0,-33.0,-219.0,186.0,", On Agreeing to the Amendment"
Failed,-0.011882041207315333,-0.04774895006405017,-401.0,-29.0,-215.0,186.0,", On Agreeing to the Amendment"
Failed,-0.010862647988498468,-0.049001537063237274,-412.0,-18.0,-215.0,197.0,"Education Flexibility Partnership Act, On Motion to Instruct Conferees"
Failed,-0.010352986086388549,-0.049637896553401215,-420.0,-14.0,-217.0,203.0,"Committee Funding Resolution for the 106th Congress, On Motion to Recommit with Instructions"
Failed,-0.011898797486250156,-0.04859492809063652,-403.0,-27.0,-215.0,188.0,"Emergency Supplemental Appropriations for FY 1999, On Agreeing to the Amendment"
Failed,-0.011408519775713926,-0.04914043482372412,-413.0,-25.0,-219.0,194.0,", On Agreeing to the Amendment"
Failed,-0.010876774053596924,-0.048551368716422766,-414.0,-18.0,-216.0,198.0,"Social Security and Medicare Safe Deposit Box Act, On Motion to Recommit with Instructions"
Failed,-0.010549367042026222,-0.05011131870120599,-422.0,-14.0,-218.0,204.0,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations, FY 2000, On Motion to Recommit with Instructions"
Failed,-0.010328511279866233,-0.047552631228378266,-407.0,-17.0,-212.0,195.0,"Legislative Branch Approriations Act for FY 2000, On Motion to Recommit with Instructions"
Failed,-0.013448313713425579,-0.04744805187401208,-386.0,-42.0,-214.0,172.0,"Consequences for Juvenile Offenders Act, On Motion to Recommit with Instructions"
Failed,-0.012559951253324757,-0.04856552527499944,-405.0,-35.0,-220.0,185.0,"Financial Services Act, On Motion to Recommit with Instructions"
Failed,-0.014528002110557645,-0.04721304566414863,-383.0,-53.0,-218.0,165.0,"Department of the Interior and Related Agencies Appropriations Act, 2000, On Motion to Recommit with Instructions"
Failed,-0.010108494733999458,-0.0496507034600896,-414.0,-10.0,-212.0,202.0,", On Agreeing to the Amendment"
Failed,-0.010238254517283621,-0.05041447925391006,-428.0,-10.0,-219.0,209.0,"Financial Freedom Act of 1999, On Motion to Recommit with Instructions"
Failed,-0.010022499525319464,-0.049276136271822014,-415.0,-9.0,-212.0,203.0,"Financial Freedom Act of 1999, On Motion to Instruct Conferees"
Failed,-0.010864783358456632,-0.05003242650583007,-419.0,-17.0,-218.0,201.0,"Financial Freedom Act of 1999, On Motion to Recommit with Instructions"
Failed,-0.010081157635506934,-0.046864537917716005,-364.0,-16.0,-190.0,174.0,", On Agreeing to the Amendment"
Failed,-0.010553925382625461,-0.050194431802494915,-427.0,-11.0,-219.0,208.0,"Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, FY 2000, On Motion to Recommit with Instructions"
Failed,-0.009882880370622068,-0.04956737148079461,-417.0,-9.0,-213.0,204.0,"Veterans Affairs and Housing and Urban Development and Independent Agencies Appropriations Act, 2000, On Motion to Recommit with Instructions"
Failed,-0.011338542656414893,-0.045202918592602136,-366.0,-24.0,-195.0,171.0,", On Agreeing to the Amendment"
Failed,-0.010437156615131185,-0.05061701461954721,-430.0,-10.0,-220.0,210.0,"Quality Care for the Uninsured Act of 1999, On Motion to Recommit with Instructions"
Failed,-0.009496881594630038,-0.04770765260937764,-390.0,-8.0,-199.0,191.0,", On Agreeing to the Amendment"
Failed,-0.010755122006481271,-0.049084555660524436,-413.0,-17.0,-215.0,198.0,"Academic Achievement for All Act (Straight A’s Act), On Motion to Recommit with Instructions"
Failed,-0.009895605597486644,-0.0490004175037168,-418.0,-8.0,-213.0,205.0,"District of Columbia Appropriations Act, 2000, On Motion to Recommit Conference Report"
Failed,-0.013280692938857619,-0.046862499595595894,-397.0,-41.0,-219.0,178.0,", On Agreeing to the Amendment"
Failed,-0.012501895985422033,-0.04782426838191377,-404.0,-34.0,-219.0,185.0,"Marriage Tax Penalty Relief Act of 2000, On Motion to Recommit with Instructions"
Failed,-0.010436192425567653,-0.04975764120847322,-413.0,-11.0,-212.0,201.0,"Wage and Employment Growth Act, On Motion to Recommit with Instructions"
Failed,-0.011391720208130432,-0.04529351020085835,-370.0,-26.0,-198.0,172.0,"Making Emergency Supplemental Appropriations for F.Y. 2000, On Motion to Recommit with Instructions"
Failed,-0.012693964119094684,-0.04718433255909461,-391.0,-37.0,-214.0,177.0,"Date Certain Tax Code Replacement Act, On Motion to Recommit with Instructions"
Failed,-0.010509638700598007,-0.0492257134063049,-416.0,-12.0,-214.0,202.0,"Defense Authorization Act for Fiscal Year 2001, On Motion that the Committee Rise"
Failed,-0.01081007189229938,-0.048546476168960795,-409.0,-15.0,-212.0,197.0,"Defense Authorization Act for Fiscal Year 2001, On Motion that the Committee Rise"
Failed,-0.009579094061440153,-0.04898197359614088,-402.0,-6.0,-204.0,198.0,"To Amend the Internal Revenue Code of 1986 to Repeal the Excise Tax on Telephone and Other Communication Services, On Motion to Recommit with Instructions"
Failed,-0.010306615538100396,-0.04586460583321825,-361.0,-17.0,-189.0,172.0,", On Agreeing to the Amendment"
Failed,-0.011296502445323858,-0.047020077586770896,-394.0,-26.0,-210.0,184.0,", On Agreeing to the Amendment"
Failed,-0.010195185704280857,-0.04813619099210077,-394.0,-14.0,-204.0,190.0,"Death Tax Elimination Act, On Motion to Recommit with Instructions"
Failed,-0.010011158547471534,-0.05035894240602066,-421.0,-7.0,-214.0,207.0,"Making Appropriations for Labor, Health and Human Services for Fiscal Year 2001, On Motion to Recommit with Instructions"
Failed,-0.012110307853636353,-0.04546995165344066,-381.0,-35.0,-208.0,173.0,"Department of the Interior Appropriations for FY 2001, On Motion that the Committee Rise"
Failed,-0.01096309879877378,-0.04974519108018471,-420.0,-18.0,-219.0,201.0,"The Medicare RX 2000 Act, On Motion to Recommit with Instructions"
Failed,-0.012348401588846255,-0.04888078345214339,-408.0,-30.0,-219.0,189.0,", On Agreeing to the Amendment"
