"
",>>>>>,Lower,Left,<<<<<,"
"
Failed,-0.015553841972445116,0.05316158888536657,-55.0,-391.0,-223.0,-168.0,", On Agreeing to the Amendment"
"
",>>>>>,Lower,Right,<<<<<,"
"
Failed,-0.037270160398886254,-0.016478723430640472,-412.0,-40.0,-226.0,186.0,"RULES OF THE HOUSE, ON MOTION TO COMMIT WITH INSTRUCTIONS"
Failed,-0.03665346101004486,-0.018010909281592706,-427.0,-27.0,-227.0,200.0,"ADOPTING THE RULES OF THE HOUSE OF REPRESENTATIVES FOR THE 104TH CONGRESS, COMMIT TITLE 2 WITH INSTRUCTIONS"
Failed,-0.03444395443555159,-0.014599771246181639,-388.0,-36.0,-212.0,176.0,", On Agreeing to the Amendment"
Failed,-0.03590569307274755,-0.013491038452094433,-389.0,-55.0,-222.0,167.0,"Line Item Veto Act, On Motion to Recommit with Instructions"
Failed,-0.03441813976420526,-0.015400597115873367,-395.0,-35.0,-215.0,180.0,"Violent Criminal Incarceration Act, On Motion to Recommit with Instructions"
Failed,-0.03360427837616718,-0.014308804399396016,-371.0,-37.0,-204.0,167.0,", On Agreeing to the Amendment"
Failed,-0.03626359338362135,-0.015984319008474822,-397.0,-39.0,-218.0,179.0,", On Agreeing to the Amendment"
Failed,-0.03712036571936612,-0.012283131674567791,-392.0,-64.0,-228.0,164.0,"Local Government Law Enforcement Block Grants Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.034948470843022175,-0.018672033860024126,-390.0,-18.0,-204.0,186.0,", On agreeing to the Amendment as modified"
Failed,-0.03543626272000361,-0.01782796373049564,-403.0,-23.0,-213.0,190.0,", On Agreeing to the Amendment, as amended"
Failed,-0.03533776776670334,-0.016518675182844555,-399.0,-29.0,-214.0,185.0,"National Security Revitalization Act, On Motion to Recommit with Instructions"
Failed,-0.03616400761292649,-0.015374527287305473,-400.0,-44.0,-222.0,178.0,", On Agreeing to the Amendment"
Failed,-0.0370446499610591,-0.012749185882711506,-390.0,-62.0,-226.0,164.0,", On Agreeing to the Amendment"
Failed,-0.03548951755156507,-0.015923170111728693,-401.0,-35.0,-218.0,183.0,", On Agreeing to the Amendment"
Failed,-0.03347369384591519,-0.013680730545149178,-336.0,-40.0,-188.0,148.0,", On Agreeing to the Amendment"
Failed,-0.03639954868825596,-0.013003655316967974,-386.0,-60.0,-223.0,163.0,"Job Creation and Wage Enhancement Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.03443058607291598,-0.013123689512322559,-358.0,-50.0,-204.0,154.0,", On Agreeing to the Amendment"
Failed,-0.03470696230608758,-0.015731805768780763,-384.0,-36.0,-210.0,174.0,", On Agreeing to the Amendment"
Failed,-0.035983633273594974,-0.012297931610832397,-374.0,-60.0,-217.0,157.0,", On Agreeing to the Amendment"
Failed,-0.03589917228088834,-0.015578136559734732,-397.0,-37.0,-217.0,180.0,"Common Sense Legal Standards Reform Act, On Motion to Recommit with Instructions"
Failed,-0.03613833103617575,-0.015816651836712336,-402.0,-42.0,-222.0,180.0,"Supplemental Appropriations and making Recissions, On Motion to Strike the Enacting Clause"
Failed,-0.03479485612077563,-0.01218546324997722,-394.0,-58.0,-226.0,168.0,"Supplemental Appropriations and Making Recissions, On Motion to Recommit with Instructions"
Failed,-0.036612816850325504,-0.01351054738190067,-403.0,-55.0,-229.0,174.0,"Personal Responsibility Act of 1995, On Motion That The Committee Rise"
Failed,-0.037078543189696604,-0.018710736992583483,-430.0,-24.0,-227.0,203.0,", On agreeing to the Substitute Amendment"
Failed,-0.036551045581912724,-0.018490496323442886,-424.0,-24.0,-224.0,200.0,"Personal Responsibility Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.03528318196994595,-0.016281611179712788,-402.0,-32.0,-217.0,185.0,"Deduction of Health Insurance Costs for the Self-Employed, On Motion to Instruct Conferees"
Failed,-0.03614163969517513,-0.017688189471304343,-416.0,-28.0,-222.0,194.0,"Expanded use on Medicare Select Policies Act, On Motion to Instruct Conferees"
Failed,-0.03470160635023807,-0.011983966136969877,-361.0,-57.0,-209.0,152.0,", On Agreeing to the Amendment"
Failed,-0.03650513588235547,-0.014416234105367976,-401.0,-51.0,-226.0,175.0,"Setting forth the Congressional Budget for the United States Government for fiscal years 1996 - 2002, On Motion to Instruct Conferees"
Failed,-0.03621169774722196,-0.013039902918806348,-379.0,-59.0,-219.0,160.0,"American Overseas Interests Act of 1995, On Motion to Recommit with Instructions"
Failed,-0.03588412702922925,-0.012796439510619019,-371.0,-57.0,-214.0,157.0,", On Agreeing to the Amendment"
Failed,-0.036524025583944075,-0.014147217572412349,-398.0,-52.0,-225.0,173.0,"Defense Department Authorization, FY 1996, On Motion to Recommit with Instructions"
Failed,-0.036958233997193335,-0.01374871008571158,-405.0,-55.0,-230.0,175.0,"Legislative Branch Appropriations for fiscal year 1996, On Motion to Recommit"
Failed,-0.03651049336199716,-0.016024517286815875,-406.0,-44.0,-225.0,181.0,", On Motion that the Committee Rise"
Failed,-0.03600649862690098,-0.015305370281430525,-393.0,-43.0,-218.0,175.0,", On Agreeing to the Amendment"
Failed,-0.03628026953275387,-0.014470110735643438,-396.0,-52.0,-224.0,172.0,", On Motion that the Committee Rise"
Failed,-0.03592206452365637,-0.01339480410064916,-392.0,-58.0,-225.0,167.0,"Foreign Operations Appropriations for FY 1996, On Motion that the Committee Rise"
Failed,-0.03640871781471874,-0.015286434471989054,-398.0,-48.0,-223.0,175.0,", On Agreeing to the Amendment"
Failed,-0.03682609259337482,-0.016849293172781183,-419.0,-41.0,-230.0,189.0,"Making Emergency Supplemental Appropriations, On Motion to Recommit with Instructions"
Failed,-0.0356643193048077,-0.014572617940726486,-390.0,-52.0,-221.0,169.0,", Lay the Resolution on the Table"
Failed,-0.03679451049810773,-0.012173474157580228,-385.0,-67.0,-226.0,159.0,"To amend the Federal Water Pollution Control Act, On Motion to Recommit with Instructions"
Failed,-0.035254786179239835,-0.014301712554424842,-380.0,-48.0,-214.0,166.0,", On Agreeing to the Amendment"
Failed,-0.03449535337916593,-0.018590251667608342,-391.0,-19.0,-205.0,186.0,", On Agreeing to the Amendment"
Failed,-0.03620218347800752,-0.014244607574326214,-379.0,-51.0,-215.0,164.0,", On Agreeing to the Amendment"
Failed,-0.035715987722205834,-0.014230709172848296,-381.0,-51.0,-216.0,165.0,", On Agreeing to the Amendment"
Failed,-0.03458184451874242,-0.016089591622384627,-361.0,-33.0,-197.0,164.0,", On agreeing to the Amendments en bloc"
Failed,-0.03525428019862348,-0.014600098592395519,-364.0,-46.0,-205.0,159.0,", On Agreeing to the Amendment"
Failed,-0.036068563961279526,-0.014453512995947332,-377.0,-51.0,-214.0,163.0,"Labor, HHS and Education Appropriations for Fiscal Year 1996, On Motion to Recommit with Instructions"
Failed,-0.03601535743547707,-0.013881701276323212,-386.0,-56.0,-221.0,165.0,", On Agreeing to the Amendment"
Failed,-0.03480280941800355,-0.013370416148673988,-379.0,-55.0,-217.0,162.0,", On Agreeing to the Amendment"
Failed,-0.033534976315528,-0.014992979429926431,-358.0,-34.0,-196.0,162.0,", On Agreeing to the Amendment"
Failed,-0.03542436057564654,-0.014423409999567594,-375.0,-47.0,-211.0,164.0,", On Agreeing to the Amendment"
Failed,-0.03720411962941778,-0.011164182156509824,-382.0,-72.0,-227.0,155.0,", On Agreeing to the Amendment"
